name,date,time,location,category,Free,description
Weddings Along The El Paso Mission Trail,"August  8, 2024",10:00 AM -  1:00 PM,9065 Alameda Avenue El Paso TX 79907,Exhibitions,Not Free,"Join us on Saturday, June 1, 2024 from 12 to 2 pm, to celebrate our opening exhibit “Weddings Along The El Paso Mission Trail”. Meet the creators Joseph Longo and Donna Ramirez  and enjoy a small r…"
"MY AMERICAN HERO : Art, Photo & Award Exhibit","August  8, 2024",11:30 AM -  4:30 PM,"500 West Paisano, El Paso TX 79901",Museum and Exhibits,Free,All are invited to celebrate the men and woman who serve our country in many ways. Through art and photography we honor those people who have served and sacrificed in the name of freedom including …
Treavor Pence,"August  8, 2024",10:30 AM -  1:00 PM,"9065 Alameda St, El Paso TX 79907",Exhibitions,Not Free,"The El Paso Mission Trail Association is excited to host our next art exhibit at the Mission Valley Visitor Center! Join us on Friday, August 16th from 6:00 pm to 8:00 pm for the official unveiling…"
Live Jazz,"August  8, 2024",9:00 PM - 12:00 AM,"114 E. Mills Ave. El Paso, TX 79901",Concerts,Free,"Join us EVERY Thursday for Live Jazz at International Bar.
We feature a variety of musical acts, from Poetry & Jazz, Pop Jazz, Latin Jazz & more! 
Visit our instagram (linked Website 1) for detai…"
'Beetlejuice Beetlejuice' Costume Display,"August  8, 2024",,"11855 Gateway Blvd W, El Paso, TX 79936",Community,Free,"Fans of “Beetlejuice” are in for a treat as the film celebrates its return to the big screen with a special costume display in El Paso.Starting Sunday, Aug. 4, through Tuesday, Aug. 13, the pub…"
Latin Thursday’s,"August 8, 2024",9:00 PM -  1:00 AM,420 E. San Antonio El Paso Tx 79901,Dance,Free,"Join us for unforgettable nights of lively music, passionate dancing, and a warm, welcoming atmosphere that embodies the true spirit of salsa.Latin Thursday’s Every other Thursday!Dance cla…"
El Fresco - Rock Music Night,"August  9, 2024",7:00 PM - 10:00 PM,"1 Civic Center Plaza, El Paso, TX 79901",Community,Free,Fridays just got more fresco as the beloved outdoor music series formerly known as Alfresco! Fridays makes a triumphant return this year with a fresh new look and feel. Introducing El Fresco Music …
"Candlelight: Featuring Mozart, Bach, and Timeless Composers","August  9, 2024",6:30 PM -  7:45 PM,"420 N Campbell St, El Paso, Texas 79902",Concerts,Not Free,"Candlelight concerts bring the magic of a live, multi-sensory musical experience to awe-inspiring locations like never seen before in El Paso. Get your tickets now to discover the music of Mozart, …"
Austin Jimmy Murphy Solo,"August  9, 2024",5:30 PM -  8:00 PM,"3000 Herb Wimberly Dr, Las Cruces, NM 88011",Live Music - Small Venue,Not Free,"Award-winning singer/songwriter Austin Jimmy Murphy performs original blues, jazz, swing, country, and Americana."
Gunfighters & Ghosts Downtown Ghost Tour,"August 10, 2024",8:00 PM - 10:00 PM,"110 E San Antonio Ave, El Paso, TX 79901",Community,Not Free,"History, Legends and Lore is what you’ll experience with #Ghosts915 in the Downtown El Paso ghost tour. This two-hour waking tour will start at The Historic Wigwam, the saloon once owned by John We…"
El Paso Locomotive FC vs. Miami FC,"August 10, 2024",7:00 PM,"1 Ballpark Plaza, El Paso, TX  79901",Sports and Fitness,Not Free,"Founded in 2018, El Paso Locomotive FC is El Paso’s premier soccer club, competing in the USL Championship since 2019. As part of MountainStar Sports Group (MSSG), Locomotive FC is dedicated to enh…"
Luis R Conriquez Live In Concert,"August 10, 2024",,"4100 E Paisano Dr, El Paso, TX 79905",Concerts,Not Free,Latin star Luis R Conriquez will perform live at El Paso County Coliseum on Aug. 10 at 7:00pm.
PBS BACK TO SCHOOL BASH AT THE OUTLET SHOPPES AT EL PASO,"August 10, 2024",10:00 AM -  2:00 PM,7051 South Desert Blvd Canutillo TX 79835,Community,Free,"PBS Back to School Bash at The Outlets Shoppes at El Paso!Join us Saturday August 10th-  10am-2pm for a FREE fun filled day for the whole family!Activities for all ages, live music, your fa…"
Campfire & S'mores,"August 10, 2024",4:00 PM -  6:00 PM,"Franklin Mountains State Park - Tom Mays Access Rd., El Paso, TX 79911",Family-Friendly,Not Free,"Learn how to make a campfire and be safe while doing so while you enjoy some delicious s’mores…because it is not a true campfire if there are not s’mores involved!Bring: water, sun protection (…"
Back to School Bash,"August 10, 2024",10:00 AM -  2:00 PM,7051 S. Desert Blvd. Canutillo TX 79835,Annual Events,Free,"PBS El Paso is excited to announce our second annual PBS KIDS Back to School Bash, happening on August 10, 2024, from 10 a.m. to 2 p.m. at The Outlet Shoppes at El Paso. We will be providing free b…"
Art in the Park - Pen & Brushes,"August 10, 2024",1:00 PM -  3:00 PM,"Tom Mays Access Rd., El Paso, TX 79911",Family-Friendly,Not Free,Join us for one or all of the programs in this summer series to make your own set of art supplies from natural or recycled materials.The second program in this series will give you some great t…
